Date,Close,High,Low,Open,Volume
2025-05-12,119.13386535644533,121.39514625367158,118.36026248976664,119.49091050514,2250300
2025-05-13,117.98339080810548,120.373609420277,117.74536321923398,119.8479541266599,1929100
2025-05-14,116.13865661621094,118.7173101936946,115.61300890452992,117.71560731801436,1864800
2025-05-15,114.51212310791016,115.05761087572608,113.12361498081918,114.62122066147334,2020100
2025-05-16,115.20638275146484,115.38489776906792,112.9550141838354,114.15507972498472,1833400
2025-05-19,114.8691635131836,115.09727863393822,112.60788261801004,113.02443276885565,1630700
2025-05-20,114.05590057373048,114.66089334733198,113.6691029075604,114.66089334733198,1198400
2025-05-21,110.80282592773438,113.80794966238632,110.55487832498407,112.79632677253966,1959300
2025-05-22,109.78128814697266,110.71356603149744,108.87875519872638,110.2771833756546,1526900
2025-05-23,107.59934997558594,109.78129363083671,105.91330914054944,107.8968901543623,3908400
2025-05-27,108.48204040527344,109.07712074902392,106.93484967174828,108.67048301857848,2620400
2025-05-28,107.94647216796876,109.69202553076346,107.53984200604708,108.85892515994196,1548800
2025-05-29,108.045654296875,108.38285941861795,105.73478072695174,107.97622926788316,2437400
2025-05-30,108.4622039794922,108.60105403684685,105.33806255549104,106.86542075315296,3548200
2025-06-02,119.4115753173828,124.71765287256522,116.92217909363896,121.90097154112664,7457300
2025-06-03,121.31581115722656,121.43482873880778,114.40303030400491,118.06273959494834,4854700
2025-06-04,120.85958862304688,122.98201964709948,120.0463207312768,121.37531634380508,2248800
2025-06-05,117.77511596679688,121.2265500630301,117.17012318680553,120.99843493009868,2429900
2025-06-06,120.57196044921876,122.05964607172294,119.00492977749184,119.2132048566312,2061200
2025-06-09,121.52408599853516,122.83324912617702,119.01485730111833,122.3472739108905,1642500
2025-06-10,123.65643310546876,124.52920597388332,121.67285221354064,121.99022485357872,1881800
2025-06-11,116.1684112548828,119.48099525183326,115.25596586813404,119.01485253538796,3617300
2025-06-12,117.47757720947266,117.6164272688263,114.71048847895293,115.08736613051845,2132400
2025-06-13,120.9190902709961,121.03810784944628,116.24775814316536,116.56513078560523,3304200
2025-06-16,120.671142578125,122.42661591699564,119.49091708467095,121.89104816446364,2517300
2025-06-17,121.19679260253906,122.43653069203624,119.41157429371962,120.8298349707748,1855500
2025-06-18,125.14411926269533,128.04015312694798,124.2812588473061,125.43173940115838,4038500
2025-06-20,123.27955627441406,128.4269511443343,122.30759830157392,128.09965847898155,5239700
2025-06-23,124.95568084716795,125.35239855376044,121.81170683176128,122.23817704216502,1789500
2025-06-24,127.14753723144533,128.18892026806432,125.46149643257358,126.53263197307984,2039100
2025-06-25,127.15746307373048,127.67318322303436,126.70123279786146,127.0186130129915,1713600
2025-06-26,129.53775024414062,130.24192811675982,127.72277191912949,128.38726969929402,1838300
2025-06-27,130.35101318359375,130.73782599203454,128.8038224839164,129.5972578803852,2860500
2025-06-30,129.0164337158203,131.34698772774178,128.9766020698665,130.30122845531926,2578600
2025-07-01,133.56796264648438,134.10577341930733,127.9408045651784,128.70768148224843,2092900
2025-07-02,138.29876708984375,138.53780254752405,133.83687825963275,134.45436752891024,1970600
